2014-05-22 10:19:19,859 - octoprint.gcodefiles - INFO - Migrating metadata if necessary...
2014-05-22 10:19:19,875 - octoprint.gcodefiles - INFO - Updated 0 sets of metadata to new format
2014-05-22 10:19:19,907 - octoprint.server - INFO - Listening on http://0.0.0.0:5005
2014-05-22 10:19:21,901 - octoprint.server.util - INFO - New connection from client: 99.130.102.12
2014-05-22 10:19:30,589 - octoprint.server.util - INFO - New connection from client: 24.205.93.241
2014-05-22 10:20:47,118 - octoprint.server.util - INFO - Client connection closed
2014-05-22 13:09:28,898 - octoprint.server.util - INFO - New connection from client: 24.205.93.241
2014-05-22 13:11:02,073 - octoprint.server.util - INFO - Client connection closed
2014-05-22 13:11:09,664 - octoprint.server.util - INFO - New connection from client: 24.205.93.241
2014-05-22 13:11:39,446 - octoprint.server.util - INFO - Client connection closed
2014-05-22 13:11:45,180 - octoprint.server.util - INFO - New connection from client: 24.205.93.241
2014-05-22 14:02:12,786 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:12,994 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:13,197 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:13,394 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:13,601 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:13,795 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:14,003 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:14,196 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:14,404 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:14,607 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:14,802 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:15,010 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:15,203 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:15,411 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:15,602 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:15,811 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:16,013 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:16,210 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
2014-05-22 14:02:16,418 - octoprint.util.comm - WARNING - Printer requested line 44103 but no sufficient history is available, can't resend
